date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:28:31	2308/2308	U-----	200	untouched ('')	text/xml	date:Fri,%2016%20Aug%202019%2006:58:21%20GMT	http://localhost/wordpress/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwordpress%2Fabout-national-coding-system%2F&format=xml	C:/My%20Web%20Sites/ncs_eng/localhost/wordpress/wp-json/oembed/1.0/embed40cc	(from http://localhost/wordpress/about-national-coding-system/)
15:28:31	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2016%20Aug%202019%2008:58:31%20GMT	http://localhost/wordpress/?p=65	C:/My%20Web%20Sites/ncs_eng/localhost/wordpress/index7665.html	(from http://localhost/wordpress/downloads/)
15:28:32	2282/2282	U-----	200	untouched ('')	text/xml	date:Fri,%2016%20Aug%202019%2006:58:23%20GMT	http://localhost/wordpress/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwordpress%2Fdownloads%2F&format=xml	C:/My%20Web%20Sites/ncs_eng/localhost/wordpress/wp-json/oembed/1.0/embedd36d	(from http://localhost/wordpress/downloads/)
15:28:32	2204/2204	U-----	200	untouched ('')	application/json	date:Fri,%2016%20Aug%202019%2006:58:22%20GMT	http://localhost/wordpress/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwordpress%2Fdownloads%2F	C:/My%20Web%20Sites/ncs_eng/localhost/wordpress/wp-json/oembed/1.0/embed0d9c.json	(from http://localhost/wordpress/downloads/)
15:28:32	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2016%20Aug%202019%2008:58:31%20GMT	http://localhost/wordpress/?p=114	C:/My%20Web%20Sites/ncs_eng/localhost/wordpress/index30a5.html	(from http://localhost/wordpress/ncs-guidelines/)
15:28:32	2229/2229	U-----	200	untouched ('')	application/json	date:Fri,%2016%20Aug%202019%2006:58:24%20GMT	http://localhost/wordpress/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwordpress%2Fncs-guidelines%2F	C:/My%20Web%20Sites/ncs_eng/localhost/wordpress/wp-json/oembed/1.0/embed0a4b.json	(from http://localhost/wordpress/ncs-guidelines/)
15:28:32	74/74	U-----	200	untouched ('OK')	text/css	etag:%224a-59038189f6ee9%22	http://localhost/wordpress/wp-content/uploads/elementor/css/post-80.css?ver=1565945489	C:/My%20Web%20Sites/ncs_eng/localhost/wordpress/wp-content/uploads/elementor/css/post-8096cd.css	(from http://localhost/wordpress/desktop-tools/)
15:28:33	2307/2307	U-----	200	untouched ('')	text/xml	date:Fri,%2016%20Aug%202019%2006:58:25%20GMT	http://localhost/wordpress/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwordpress%2Fncs-guidelines%2F&format=xml	C:/My%20Web%20Sites/ncs_eng/localhost/wordpress/wp-json/oembed/1.0/embed8505	(from http://localhost/wordpress/ncs-guidelines/)
15:28:33	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2016%20Aug%202019%2008:58:33%20GMT	http://localhost/wordpress/?p=80	C:/My%20Web%20Sites/ncs_eng/localhost/wordpress/indexbde5.html	(from http://localhost/wordpress/desktop-tools/)
15:28:33	21405/21405	U-----	200	untouched ('')	image/png	etag:%22539d-58f1ac3cce6a4%22	http://localhost/wordpress/wp-content/uploads/2019/08/pcoder.png	C:/My%20Web%20Sites/ncs_eng/localhost/wordpress/wp-content/uploads/2019/08/pcoder.png	(from http://localhost/wordpress/desktop-tools/)
15:28:34	2224/2224	U-----	200	untouched ('')	application/json	date:Fri,%2016%20Aug%202019%2006:58:26%20GMT	http://localhost/wordpress/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwordpress%2Fdesktop-tools%2F	C:/My%20Web%20Sites/ncs_eng/localhost/wordpress/wp-json/oembed/1.0/embedf899.json	(from http://localhost/wordpress/desktop-tools/)
15:28:34	2302/2302	U-----	200	untouched ('')	text/xml	date:Fri,%2016%20Aug%202019%2006:58:27%20GMT	http://localhost/wordpress/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwordpress%2Fdesktop-tools%2F&format=xml	C:/My%20Web%20Sites/ncs_eng/localhost/wordpress/wp-json/oembed/1.0/embed0f42	(from http://localhost/wordpress/desktop-tools/)
15:28:34	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2016%20Aug%202019%2008:58:34%20GMT	http://localhost/wordpress/?p=52	C:/My%20Web%20Sites/ncs_eng/localhost/wordpress/index4579.html	(from http://localhost/wordpress/faqs/)
15:28:35	2284/2284	U-----	200	untouched ('')	application/json	date:Fri,%2016%20Aug%202019%2006:58:28%20GMT	http://localhost/wordpress/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwordpress%2Ffaqs%2F	C:/My%20Web%20Sites/ncs_eng/localhost/wordpress/wp-json/oembed/1.0/embed6801.json	(from http://localhost/wordpress/faqs/)
15:28:35	2365/2365	U-----	200	untouched ('')	text/xml	date:Fri,%2016%20Aug%202019%2006:58:29%20GMT	http://localhost/wordpress/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwordpress%2Ffaqs%2F&format=xml	C:/My%20Web%20Sites/ncs_eng/localhost/wordpress/wp-json/oembed/1.0/embed6f5d	(from http://localhost/wordpress/faqs/)
